,bid_size_0,bid_price_0,bid_size_1,bid_price_1,bid_size_2,bid_price_2,bid_size_3,bid_price_3,bid_size_4,bid_price_4,bid_size_5,bid_price_5,bid_size_6,bid_price_6,bid_size_7,bid_price_7,bid_size_8,bid_price_8,bid_size_9,bid_price_9,ask_size_0,ask_price_0,ask_size_1,ask_price_1,ask_size_2,ask_price_2,ask_size_3,ask_price_3,ask_size_4,ask_price_4,ask_size_5,ask_price_5,ask_size_6,ask_price_6,ask_size_7,ask_price_7,ask_size_8,ask_price_8,ask_size_9,ask_price_9
bid_size_5,-0.0956022501039013,-0.12456539522305858,-0.0033572858712182115,-0.12444029457958139,0.058234017260745376,-0.12431481223092353,0.12540057349717224,-0.12419598967923454,0.030926331250574212,-0.12404378746766785,1.0,-0.1238881798300792,-0.01664764597595535,-0.12415787902325412,0.18546059542052762,-0.12438728668617957,0.1644355539248099,-0.12462381881751784,0.08351476715520195,-0.12488064724879223,0.06850765939214785,-0.1276516956726637,0.05650875194008498,-0.12784350494857655,0.029601458804805896,-0.12800544162530783,-0.0001559248809044893,-0.12817399880698474,-0.002717227565301083,-0.12834093939879293,0.03888754720283651,-0.12852179849381523,-0.00023645027100932105,-0.12871814263969675,-0.021404365102548763,-0.12889239482192474,-0.030645853796097446,-0.12905005155314675,-0.02685237294655441,-0.12920589888064954
bid_price_5,0.18284673822791084,0.9998735314121573,0.21349986675857785,0.9998987494695646,-0.003108215537925088,0.9999236156014981,-0.10538377233380104,0.9999483874484699,-0.1245012537338983,0.9999740494701517,-0.1238881798300792,1.0,-0.12540039802243427,0.9999748920271729,-0.09726836867212235,0.9999482983551334,-0.07316475928156028,0.9999219892533018,-0.03739809194648985,0.9998964537139426,-0.13054216994286072,0.9996900457700193,-0.12351155162100362,0.999677864673301,-0.009647027806471987,0.9996678240773431,0.02962604574255445,0.9996565087852729,0.036512001940748724,0.9996432793441462,0.048081188180663634,0.9996297366499599,0.07312818981422159,0.999617598567244,0.08122295955580106,0.9996067758005215,0.08513395939233946,0.9995965425975992,0.05732980396353855,0.9995867684000675
bid_size_6,-0.059244826935021186,-0.12596905846459183,-0.027206098524113383,-0.12586343524362276,0.08781645097744774,-0.1257585243746427,0.10646820395999532,-0.12566079138199485,0.15812903428202832,-0.12553408225704965,-0.01664764597595535,-0.12540039802243427,1.0,-0.12528505800033743,-0.07610755170789606,-0.12544558628448993,0.22445721995699622,-0.12562624273764048,0.18134914900407753,-0.12583047640712128,0.07686529097303374,-0.12831097130041227,0.07525502889416445,-0.12846558574782044,0.04179939491998534,-0.12858585650183296,0.017383781664847064,-0.1287085991807646,0.0064294598819122735,-0.12884780295722506,-0.05388713321303657,-0.12899256662440914,-0.045688530133057084,-0.12914007027919455,-0.01685562982276448,-0.1292743118968441,-0.029616085928554896,-0.1293960816135871,-0.03826432876836674,-0.12951855280415378
bid_price_6,0.18357351877689693,0.9998483711389782,0.2137664053476351,0.9998736019470467,-0.003144909859519289,0.9998984840642495,-0.10547199408252071,0.9999232680457751,-0.12478449675734203,0.9999489108226128,-0.12415787902325412,0.9999748920271729,-0.12528505800033743,1.0,-0.09721892564152128,0.9999733992930762,-0.07310758498175011,0.9999470082082866,-0.03733284512634805,0.9999214150349807,-0.1307062236251182,0.9996949241242385,-0.12357403348104597,0.9996827581995892,-0.009660085038809996,0.9996726992824897,0.029646804388107507,0.999661393604593,0.03656276247459275,0.9996481519256668,0.048131570080282876,0.9996346178226821,0.0731215178753493,0.999622471047765,0.08125959699479311,0.9996116477584172,0.08515948757010497,0.9996014175436067,0.057361606456793106,0.9995916287723212
bid_size_7,-0.04557181910178863,-0.09752452612497758,0.007969578173728648,-0.09747799260205917,0.12532498539958864,-0.09743294528307511,0.10513352040455193,-0.0973972967650716,0.13068963634858227,-0.09733272373735097,0.18546059542052762,-0.09726836867212235,-0.07610755170789606,-0.09721892564152128,1.0,-0.09712043524823633,-0.03691297589054839,-0.09723402797951207,0.19733906236606857,-0.09738115195614473,0.045077879328782,-0.09895190522871818,0.05450148011286933,-0.09912701158020061,0.06586057919228498,-0.09927366356805437,0.012453410393235413,-0.09943016503377455,-0.06935898957601797,-0.09959594634882984,-0.06025775143834584,-0.09976347118515128,-0.011225459972998479,-0.0999428031264673,-0.03818299215810868,-0.10009563482436466,-0.045213111533334675,-0.10024420878033731,-0.05688010817617932,-0.10038640849071101
bid_price_7,0.1843114645820654,0.9998215915191948,0.21407131713006744,0.9998468616683015,-0.0031545428151171714,0.9998717869143857,-0.1055340007829774,0.9998966104505628,-0.1250133027784178,0.9999222567274269,-0.12438728668617957,0.9999482983551334,-0.12544558628448993,0.9999733992930762,-0.09712043524823633,1.0,-0.07301459464787978,0.9999735117846795,-0.037241731650801684,0.9999478606679711,-0.13086717268147718,0.9996968305051883,-0.1236634376832214,0.9996847070545306,-0.009688787520792821,0.999674654931743,0.029706193823768844,0.9996633846417662,0.036644852404096206,0.9996501568325784,0.048220045173646676,0.9996366579706016,0.07314536466060742,0.9996245286850461,0.08133194390190397,0.9996137298908178,0.08521929431208591,0.9996035277251014,0.05743275324141575,0.9995937491970567
bid_size_8,-0.03871391697997936,-0.07344769305564902,0.01349399925811104,-0.07339527870121809,0.11332264899242356,-0.07333964023130464,0.1721618543549995,-0.07329238446394257,0.11248729954768318,-0.07323698263236107,0.1644355539248099,-0.07316475928156028,0.22445721995699622,-0.07310758498175011,-0.03691297589054839,-0.07301459464787978,1.0,-0.07291515549502166,0.05538643165892677,-0.07308711639436323,0.024905587393104816,-0.07508706622244013,0.0836801334298097,-0.07526795396600904,0.051386473393552866,-0.07541796868920544,-0.0398040504655277,-0.07558108339382973,-0.07956477297922329,-0.07574519100365842,-0.0364933110430695,-0.07591227894945321,-0.041302381744448245,-0.07609145947821781,-0.05024247979335845,-0.07624882909575326,-0.05947915754893856,-0.0763948273156297,-0.05420012083629798,-0.07653523087975124
bid_price_8,0.1850578055880838,0.9997954710994601,0.2143632036331139,0.9998207056799657,-0.0031420753470702213,0.9998455991091841,-0.10560359294158411,0.9998703872269701,-0.12525693455717954,0.9998959620997026,-0.12462381881751784,0.9999219892533018,-0.12562624273764048,0.9999470082082866,-0.09723402797951207,0.9999735117846795,-0.07291515549502166,1.0,-0.03714547861800036,0.9999743584330586,-0.1310346458604271,0.9997001499153575,-0.12376493065998118,0.9996880473339184,-0.009684450306742092,0.999677980582019,0.02980257156208584,0.9996667242141637,0.03674210691002764,0.9996534887571917,0.04830653698051385,0.9996400035745141,0.07318213590352476,0.9996278702635049,0.0814140354580343,0.999617074538781,0.0852868081511252,0.9996068789926289,0.05750655247406738,0.9995970892974775
bid_size_9,0.006008970760672352,-0.03770540134166389,0.04234746720509545,-0.03764232295210787,0.08453871018261197,-0.03758226349926762,0.15307058293110423,-0.037527026648063205,0.18251705090207748,-0.037457921842659184,0.08351476715520195,-0.03739809194648985,0.18134914900407753,-0.03733284512634805,0.19733906236606857,-0.037241731650801684,0.05538643165892677,-0.03714547861800036,1.0,-0.03705958746813721,0.04592505455463466,-0.03953009016329534,0.035916292230340034,-0.03973128179176723,-0.001419939722985958,-0.039897336828567394,-0.04834536008604412,-0.04007361490245643,-0.0672586084507081,-0.04025923030563679,-0.035850660082843065,-0.04043360701675704,-0.0325927136571991,-0.04061910247207332,-0.0365533265447667,-0.0407946850115762,-0.0469317659660222,-0.0409612569369565,-0.026845645101255318,-0.041128145180895546
bid_price_9,0.1857961182721177,0.999770002274369,0.21464890891416666,0.9997952257245212,-0.0031492174220850225,0.9998201116030278,-0.10568735030952935,0.9998448884780847,-0.1255289159116341,0.9998704164695986,-0.12488064724879223,0.9998964537139426,-0.12583047640712128,0.9999214150349807,-0.09738115195614473,0.9999478606679711,-0.07308711639436323,0.9999743584330586,-0.03705958746813721,1.0,-0.13122509991956616,0.999704993406172,-0.1238202668487432,0.9996928646284816,-0.00963558496000435,0.9996827796009647,0.029882237401337677,0.9996715333033561,0.036827374922739735,0.9996582862281307,0.04838656960945584,0.9996448105809573,0.07321771813130767,0.999632669253854,0.08148211127573984,0.9996218729791627,0.08533692472680736,0.9996116804194142,0.05755704229941768,0.9996018760014753
