(Research) arcwilbo@crc-dot1x-nat-10-239-114-160 Will_Branch % python Models/MLP.py   
Device: mps
[Epoch 004] Train: 0.000850  Val: 0.029475
[Epoch 005] Train: 0.000346  Val: 0.003821
[Epoch 006] Train: 0.000144  Val: 0.007750
[Epoch 007] Train: 0.000110  Val: 0.012292
[Epoch 008] Train: 0.000089  Val: 0.000897
[Epoch 009] Train: 0.000029  Val: 0.000140
[Epoch 010] Train: 0.000017  Val: 0.001227
[Epoch 001] Train: 0.009161  Val: 0.246538
[Epoch 002] Train: 0.007517  Val: 0.174203
[Epoch 003] Train: 0.008302  Val: 0.011901
[Epoch 004] Train: 0.000737  Val: 0.000787
[Epoch 005] Train: 0.000102  Val: 0.000670
[Epoch 006] Train: 0.000041  Val: 0.000152
[Epoch 007] Train: 0.000035  Val: 0.000388
[Epoch 008] Train: 0.000016  Val: 0.000202
[Epoch 009] Train: 0.000006  Val: 0.000223
[Epoch 010] Train: 0.000006  Val: 0.000275
[Epoch 001] Train: 0.011676  Val: 0.013540
[Epoch 002] Train: 0.001696  Val: 0.003204
[Epoch 003] Train: 0.000533  Val: 0.001758
[Epoch 004] Train: 0.000195  Val: 0.000734
[Epoch 005] Train: 0.000082  Val: 0.000274
[Epoch 006] Train: 0.000027  Val: 0.000130
[Epoch 007] Train: 0.000010  Val: 0.000107
[Epoch 008] Train: 0.000006  Val: 0.000072
[Epoch 009] Train: 0.000007  Val: 0.000065
[Epoch 010] Train: 0.000006  Val: 0.000022
Params: hidden=[128, 64], dropout=0.0, lr=0.001, batch=128 → 0.000105
[Epoch 001] Train: 0.016302  Val: 0.023539
[Epoch 002] Train: 0.003294  Val: 0.015535
[Epoch 003] Train: 0.001527  Val: 0.011786
[Epoch 004] Train: 0.000778  Val: 0.004621
[Epoch 005] Train: 0.000590  Val: 0.004794
[Epoch 006] Train: 0.000173  Val: 0.002551
[Epoch 007] Train: 0.000107  Val: 0.000711
[Epoch 008] Train: 0.000072  Val: 0.000473
[Epoch 009] Train: 0.000017  Val: 0.000338
[Epoch 010] Train: 0.000011  Val: 0.000290
[Epoch 001] Train: 0.017280  Val: 0.108932
[Epoch 002] Train: 0.002586  Val: 0.054749
[Epoch 003] Train: 0.002442  Val: 0.115054
[Epoch 004] Train: 0.004562  Val: 0.022080
[Epoch 005] Train: 0.001117  Val: 0.006510
[Epoch 006] Train: 0.002458  Val: 0.005209
[Epoch 007] Train: 0.001083  Val: 0.003631
[Epoch 008] Train: 0.000523  Val: 0.003551
[Epoch 009] Train: 0.000121  Val: 0.000614
[Epoch 010] Train: 0.000192  Val: 0.001155
[Epoch 001] Train: 0.015828  Val: 0.024425
[Epoch 002] Train: 0.003316  Val: 0.008851
[Epoch 003] Train: 0.001557  Val: 0.004260
[Epoch 004] Train: 0.000917  Val: 0.002625
[Epoch 005] Train: 0.000610  Val: 0.001800
[Epoch 006] Train: 0.000431  Val: 0.000974
[Epoch 007] Train: 0.000313  Val: 0.000626
[Epoch 008] Train: 0.000206  Val: 0.000312
[Epoch 009] Train: 0.000091  Val: 0.000216
[Epoch 010] Train: 0.000052  Val: 0.000172
Params: hidden=[128, 64], dropout=0.0, lr=0.001, batch=256 → 0.000359
[Epoch 001] Train: 0.009247  Val: 0.132737
[Epoch 002] Train: 0.002113  Val: 0.086719
[Epoch 003] Train: 0.001058  Val: 0.061293
[Epoch 004] Train: 0.001277  Val: 0.494983
[Epoch 005] Train: 0.002621  Val: 0.187328
[Epoch 006] Train: 0.003318  Val: 0.400599
[Epoch 007] Train: 0.001436  Val: 0.011806
[Epoch 008] Train: 0.001526  Val: 0.088519
[Epoch 009] Train: 0.001457  Val: 0.007003
[Epoch 010] Train: 0.001042  Val: 0.045932
[Epoch 001] Train: 0.013599  Val: 0.132285
[Epoch 002] Train: 0.002484  Val: 0.119200
[Epoch 003] Train: 0.002384  Val: 0.126939
[Epoch 004] Train: 0.002222  Val: 0.088229
[Epoch 005] Train: 0.009987  Val: 0.053738
[Epoch 006] Train: 0.001404  Val: 0.023338
[Epoch 007] Train: 0.008770  Val: 0.059661
[Epoch 008] Train: 0.004529  Val: 0.022675
[Epoch 009] Train: 0.005221  Val: 0.067344
[Epoch 010] Train: 0.006493  Val: 0.038446
[Epoch 001] Train: 0.018599  Val: 0.012262
[Epoch 002] Train: 0.003014  Val: 0.007077
[Epoch 003] Train: 0.001454  Val: 0.006247
[Epoch 004] Train: 0.000759  Val: 0.003448
[Epoch 005] Train: 0.000393  Val: 0.001857
[Epoch 006] Train: 0.000188  Val: 0.001092
[Epoch 007] Train: 0.000116  Val: 0.000629
[Epoch 008] Train: 0.000057  Val: 0.000400
[Epoch 009] Train: 0.000034  Val: 0.000313
[Epoch 010] Train: 0.000021  Val: 0.000138
Params: hidden=[128, 64], dropout=0.0, lr=0.0005, batch=128 → 0.009939
[Epoch 001] Train: 0.030199  Val: 0.192003
[Epoch 002] Train: 0.011554  Val: 0.076208
[Epoch 003] Train: 0.006960  Val: 0.032552
[Epoch 004] Train: 0.004880  Val: 0.028505
[Epoch 005] Train: 0.003970  Val: 0.024698
[Epoch 006] Train: 0.003381  Val: 0.013940
[Epoch 007] Train: 0.002766  Val: 0.006238
[Epoch 008] Train: 0.002140  Val: 0.013331
[Epoch 009] Train: 0.002187  Val: 0.069923
[Epoch 010] Train: 0.001737  Val: 0.010793
[Epoch 001] Train: 0.026341  Val: 0.162507
[Epoch 002] Train: 0.006346  Val: 0.058593
[Epoch 003] Train: 0.004199  Val: 0.035263
[Epoch 004] Train: 0.003029  Val: 0.025147
[Epoch 005] Train: 0.002040  Val: 0.016410
[Epoch 006] Train: 0.002245  Val: 0.013274
[Epoch 007] Train: 0.002052  Val: 0.009948
[Epoch 008] Train: 0.001411  Val: 0.009081
[Epoch 009] Train: 0.000979  Val: 0.009347
[Epoch 010] Train: 0.000597  Val: 0.007297
[Epoch 001] Train: 0.020858  Val: 0.011921
[Epoch 002] Train: 0.003457  Val: 0.006059
[Epoch 003] Train: 0.001965  Val: 0.004761
[Epoch 004] Train: 0.001732  Val: 0.004465
[Epoch 005] Train: 0.002034  Val: 0.003654
[Epoch 006] Train: 0.001156  Val: 0.001031
[Epoch 007] Train: 0.000396  Val: 0.000835
[Epoch 008] Train: 0.000302  Val: 0.000880
[Epoch 009] Train: 0.000314  Val: 0.000522
[Epoch 010] Train: 0.000184  Val: 0.000320
Params: hidden=[128, 64], dropout=0.0, lr=0.0005, batch=256 → 0.004618
[Epoch 001] Train: 0.020310  Val: 0.001749
[Epoch 002] Train: 0.000083  Val: 0.001772
[Epoch 003] Train: 0.000047  Val: 0.001555
[Epoch 004] Train: 0.000040  Val: 0.001450
[Epoch 005] Train: 0.000037  Val: 0.001359
[Epoch 006] Train: 0.000031  Val: 0.001449
[Epoch 007] Train: 0.000026  Val: 0.001654
[Epoch 008] Train: 0.000024  Val: 0.001512
[Epoch 009] Train: 0.000021  Val: 0.001338
[Epoch 010] Train: 0.000018  Val: 0.001478
[Epoch 001] Train: 0.025193  Val: 0.000950
[Epoch 002] Train: 0.000071  Val: 0.000954
[Epoch 003] Train: 0.000041  Val: 0.000792
[Epoch 004] Train: 0.000038  Val: 0.000788
[Epoch 005] Train: 0.000032  Val: 0.000772
[Epoch 006] Train: 0.000029  Val: 0.000676
[Epoch 007] Train: 0.000025  Val: 0.000663
[Epoch 008] Train: 0.000026  Val: 0.000675
[Epoch 009] Train: 0.000023  Val: 0.000650
[Epoch 010] Train: 0.000023  Val: 0.000461
[Epoch 001] Train: 0.036125  Val: 0.000142
[Epoch 002] Train: 0.000046  Val: 0.000103
[Epoch 003] Train: 0.000030  Val: 0.000084
[Epoch 004] Train: 0.000023  Val: 0.000065
[Epoch 005] Train: 0.000022  Val: 0.000064
[Epoch 006] Train: 0.000020  Val: 0.000072
[Epoch 007] Train: 0.000018  Val: 0.000066
[Epoch 008] Train: 0.000018  Val: 0.000096
[Epoch 009] Train: 0.000020  Val: 0.000068
[Epoch 010] Train: 0.000019  Val: 0.000061
Params: hidden=[128, 64], dropout=0.2, lr=0.001, batch=128 → 0.000620
[Epoch 001] Train: 0.038947  Val: 0.003157
[Epoch 002] Train: 0.000382  Val: 0.001368
[Epoch 003] Train: 0.000114  Val: 0.001564
[Epoch 004] Train: 0.000081  Val: 0.001628
[Epoch 005] Train: 0.000066  Val: 0.001782
[Epoch 006] Train: 0.000057  Val: 0.001703
[Epoch 007] Train: 0.000052  Val: 0.001654
[Epoch 008] Train: 0.000051  Val: 0.001650
[Epoch 009] Train: 0.000048  Val: 0.001727
[Epoch 010] Train: 0.000047  Val: 0.001564
[Epoch 001] Train: 0.040711  Val: 0.000752
[Epoch 002] Train: 0.000218  Val: 0.000675
[Epoch 003] Train: 0.000112  Val: 0.000698
[Epoch 004] Train: 0.000076  Val: 0.000775
[Epoch 005] Train: 0.000062  Val: 0.000783
[Epoch 006] Train: 0.000050  Val: 0.000724
[Epoch 007] Train: 0.000046  Val: 0.000739
[Epoch 008] Train: 0.000043  Val: 0.000788
[Epoch 009] Train: 0.000044  Val: 0.000806
[Epoch 010] Train: 0.000040  Val: 0.000602
[Epoch 001] Train: 0.041855  Val: 0.000118
[Epoch 002] Train: 0.000158  Val: 0.000090
[Epoch 003] Train: 0.000077  Val: 0.000094
[Epoch 004] Train: 0.000049  Val: 0.000095
[Epoch 005] Train: 0.000037  Val: 0.000082
[Epoch 006] Train: 0.000037  Val: 0.000070
[Epoch 007] Train: 0.000036  Val: 0.000069
[Epoch 008] Train: 0.000037  Val: 0.000069
[Epoch 009] Train: 0.000037  Val: 0.000068
[Epoch 010] Train: 0.000036  Val: 0.000077
Params: hidden=[128, 64], dropout=0.2, lr=0.001, batch=256 → 0.000680
[Epoch 001] Train: 0.034146  Val: 0.004027
[Epoch 002] Train: 0.000432  Val: 0.001614
[Epoch 003] Train: 0.000093  Val: 0.001777
[Epoch 004] Train: 0.000053  Val: 0.002191
[Epoch 005] Train: 0.000045  Val: 0.001437
[Epoch 006] Train: 0.000040  Val: 0.001410
[Epoch 007] Train: 0.000036  Val: 0.001442
[Epoch 008] Train: 0.000034  Val: 0.001382
[Epoch 009] Train: 0.000032  Val: 0.001419
[Epoch 010] Train: 0.000026  Val: 0.001305
[Epoch 001] Train: 0.074886  Val: 0.000933
[Epoch 002] Train: 0.000297  Val: 0.000856
[Epoch 003] Train: 0.000073  Val: 0.000822
[Epoch 004] Train: 0.000041  Val: 0.000788
[Epoch 005] Train: 0.000033  Val: 0.000709
[Epoch 006] Train: 0.000030  Val: 0.000679
[Epoch 007] Train: 0.000027  Val: 0.000675
[Epoch 008] Train: 0.000025  Val: 0.000649
[Epoch 009] Train: 0.000023  Val: 0.000600
[Epoch 010] Train: 0.000021  Val: 0.000577
[Epoch 001] Train: 0.054937  Val: 0.000100
[Epoch 002] Train: 0.000116  Val: 0.000118
[Epoch 003] Train: 0.000052  Val: 0.000101
[Epoch 004] Train: 0.000029  Val: 0.000092
[Epoch 005] Train: 0.000023  Val: 0.000086
[Epoch 006] Train: 0.000020  Val: 0.000074
[Epoch 007] Train: 0.000019  Val: 0.000067
[Epoch 008] Train: 0.000019  Val: 0.000059
[Epoch 009] Train: 0.000018  Val: 0.000055
[Epoch 010] Train: 0.000017  Val: 0.000055
Params: hidden=[128, 64], dropout=0.2, lr=0.0005, batch=128 → 0.000646
[Epoch 001] Train: 0.052662  Val: 0.006280
[Epoch 002] Train: 0.001991  Val: 0.000474
[Epoch 003] Train: 0.000338  Val: 0.001093
[Epoch 004] Train: 0.000151  Val: 0.001341
[Epoch 005] Train: 0.000096  Val: 0.001448
[Epoch 006] Train: 0.000078  Val: 0.001470
[Epoch 007] Train: 0.000066  Val: 0.001373
